id,config_id,updated_at,trading_date,cashflow,total_assets,positions
66a78234-79fc-4086-aaf3-bf54f9bc26c9,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:54:05.753445+00,2025-05-22 00:00:00+00,19030.69,93555.71,"{""KO"": {""value"": 9461.62, ""shares"": 133}, ""AXP"": {""value"": 9189.76, ""shares"": 32}, ""BAC"": {""value"": 18709.92, ""shares"": 432}, ""CVX"": {""value"": 23269.88, ""shares"": 172}, ""AAPL"": {""value"": 13893.84, ""shares"": 69}}"
bc68326c-764d-4c5c-9405-3583f50555aa,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 05:52:48.834435+00,2025-05-02 00:00:00+00,2370.93,98740.40,"{""KO"": {""value"": 4728.9, ""shares"": 66}, ""AXP"": {""value"": 24085.95, ""shares"": 87}, ""BAC"": {""value"": 24477.72, ""shares"": 596}, ""CVX"": {""value"": 19667.0, ""shares"": 142}, ""AAPL"": {""value"": 23409.9, ""shares"": 114}}"
bea19f28-bf86-49c6-b390-bb0e2f775813,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 05:51:39.901189+00,2025-05-01 00:00:00+00,8710.88,98221.94,"{""KO"": {""value"": 4705.14, ""shares"": 66}, ""AXP"": {""value"": 19334.88, ""shares"": 72}, ""BAC"": {""value"": 21531.12, ""shares"": 536}, ""CVX"": {""value"": 19621.44, ""shares"": 144}, ""AAPL"": {""value"": 24318.48, ""shares"": 114}}"
bacb154e-714c-4b79-9c8b-0de90967daa8,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 05:48:51.249242+00,2025-04-30 00:00:00+00,9043.60,97885.66,"{""KO"": {""value"": 4788.3, ""shares"": 66}, ""AXP"": {""value"": 19181.52, ""shares"": 72}, ""BAC"": {""value"": 21375.68, ""shares"": 536}, ""CVX"": {""value"": 23946.56, ""shares"": 176}, ""AAPL"": {""value"": 19550.0, ""shares"": 92}}"
28694625-2f4f-4530-832c-3211a33c3d8d,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:46:31.92477+00,2025-05-21 00:00:00+00,28022.78,93627.95,"{""KO"": {""value"": 9340.5, ""shares"": 130}, ""AXP"": {""value"": 18876.0, ""shares"": 66}, ""BAC"": {""value"": 9385.25, ""shares"": 217}, ""CVX"": {""value"": 18707.28, ""shares"": 138}, ""AAPL"": {""value"": 9296.14, ""shares"": 46}}"
0e82c6b3-bffc-4dbf-a4b4-f8e946433aec,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:44:09.547634+00,2025-05-20 00:00:00+00,37804.72,94907.60,"{""KO"": {""value"": 9463.08, ""shares"": 132}, ""AXP"": {""value"": 18954.88, ""shares"": 64}, ""BAC"": {""value"": 9697.73, ""shares"": 217}, ""CVX"": {""value"": 9471.63, ""shares"": 69}, ""AAPL"": {""value"": 9515.56, ""shares"": 46}}"
232a3bdb-8825-46e6-a6ef-e625685eb57e,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 05:43:31.402854+00,2025-04-29 00:00:00+00,9043.60,98426.90,"{""KO"": {""value"": 4775.1, ""shares"": 66}, ""AXP"": {""value"": 19225.44, ""shares"": 72}, ""BAC"": {""value"": 21434.64, ""shares"": 536}, ""CVX"": {""value"": 24516.8, ""shares"": 176}, ""AAPL"": {""value"": 19431.32, ""shares"": 92}}"
c6b4c039-2386-412e-b639-58f2bfb77829,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:41:34.035928+00,2025-05-19 00:00:00+00,37802.59,95295.46,"{""KO"": {""value"": 14386.0, ""shares"": 200}, ""AXP"": {""value"": 14366.4, ""shares"": 48}, ""BAC"": {""value"": 9580.78, ""shares"": 214}, ""CVX"": {""value"": 9555.81, ""shares"": 69}, ""AAPL"": {""value"": 9603.88, ""shares"": 46}}"
7ebf789e-2abe-4949-99df-7c017b7b76fc,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 05:41:13.42445+00,2025-04-28 00:00:00+00,9043.60,98170.70,"{""KO"": {""value"": 4738.14, ""shares"": 66}, ""AXP"": {""value"": 19076.4, ""shares"": 72}, ""BAC"": {""value"": 21322.08, ""shares"": 536}, ""CVX"": {""value"": 24657.6, ""shares"": 176}, ""AAPL"": {""value"": 19332.88, ""shares"": 92}}"
ff42b8e7-bf6a-47db-8a6d-0b62a4a44a7c,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 05:40:06.427009+00,2025-04-25 00:00:00+00,14252.56,97905.25,"{""KO"": {""value"": 9492.12, ""shares"": 132}, ""AXP"": {""value"": 19066.32, ""shares"": 72}, ""BAC"": {""value"": 21273.84, ""shares"": 536}, ""CVX"": {""value"": 14566.65, ""shares"": 105}, ""AAPL"": {""value"": 19253.76, ""shares"": 92}}"
1d160f5f-6038-4743-9cd7-974d440fc8dc,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 05:36:57.644108+00,2025-04-24 00:00:00+00,9218.86,98102.21,"{""KO"": {""value"": 14649.04, ""shares"": 202}, ""AXP"": {""value"": 19247.04, ""shares"": 72}, ""BAC"": {""value"": 21214.88, ""shares"": 536}, ""CVX"": {""value"": 14602.35, ""shares"": 105}, ""AAPL"": {""value"": 19170.04, ""shares"": 92}}"
1067c217-7993-4966-9ec7-3ff58db7ab41,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 05:35:18.534198+00,2025-04-23 00:00:00+00,10292.32,96887.04,"{""KO"": {""value"": 19058.0, ""shares"": 260}, ""AXP"": {""value"": 14567.84, ""shares"": 56}, ""BAC"": {""value"": 19375.0, ""shares"": 500}, ""CVX"": {""value"": 19271.88, ""shares"": 141}, ""AAPL"": {""value"": 14322.0, ""shares"": 70}}"
7294fdf0-36d3-420b-9a63-41eb2251990d,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:32:09.774295+00,2025-05-16 00:00:00+00,28968.54,96079.82,"{""KO"": {""value"": 9576.0, ""shares"": 133}, ""AXP"": {""value"": 9591.04, ""shares"": 32}, ""BAC"": {""value"": 9563.66, ""shares"": 214}, ""CVX"": {""value"": 24014.9, ""shares"": 169}, ""AAPL"": {""value"": 14365.68, ""shares"": 68}}"
742dc4a4-a655-4f6a-8c4f-08a987d97a74,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:28:54.619754+00,2025-05-23 00:00:00+00,5382.52,96933.62,"{""KO"": {""value"": 9617.18, ""shares"": 134}, ""AXP"": {""value"": 23958.48, ""shares"": 84}, ""BAC"": {""value"": 19656.0, ""shares"": 455}, ""CVX"": {""value"": 28946.48, ""shares"": 212}, ""AAPL"": {""value"": 9372.96, ""shares"": 48}}"
a65acd95-3975-4cc3-8b4f-012631d55924,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:27:35.961621+00,2025-05-15 00:00:00+00,34239.28,96019.77,"{""KO"": {""value"": 4726.26, ""shares"": 66}, ""AXP"": {""value"": 9286.05, ""shares"": 31}, ""BAC"": {""value"": 9674.84, ""shares"": 218}, ""CVX"": {""value"": 19062.84, ""shares"": 134}, ""AAPL"": {""value"": 19030.5, ""shares"": 90}}"
d6e490fd-7788-441e-8142-d4a380c89cdf,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:27:06.281032+00,2025-05-22 00:00:00+00,20.77,97043.99,"{""KO"": {""value"": 14441.42, ""shares"": 203}, ""AXP"": {""value"": 24123.12, ""shares"": 84}, ""BAC"": {""value"": 19706.05, ""shares"": 455}, ""CVX"": {""value"": 29087.35, ""shares"": 215}, ""AAPL"": {""value"": 9665.28, ""shares"": 48}}"
a2093255-39fe-499d-9425-a1ee07caa15f,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:25:06.550296+00,2025-05-14 00:00:00+00,33239.70,95741.65,"{""KO"": {""value"": 10235.68, ""shares"": 148}, ""AXP"": {""value"": 4501.5, ""shares"": 15}, ""BAC"": {""value"": 9529.62, ""shares"": 213}, ""CVX"": {""value"": 19125.45, ""shares"": 135}, ""AAPL"": {""value"": 19109.7, ""shares"": 90}}"
a2e88555-c0de-41d7-bcdd-527236349978,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:25:05.253928+00,2025-05-21 00:00:00+00,14521.67,97200.69,"{""KO"": {""value"": 14585.55, ""shares"": 203}, ""AXP"": {""value"": 14586.0, ""shares"": 51}, ""BAC"": {""value"": 14661.75, ""shares"": 339}, ""CVX"": {""value"": 29145.4, ""shares"": 215}, ""AAPL"": {""value"": 9700.32, ""shares"": 48}}"
9aa89925-5e6a-4565-ac2c-4a335629c1fd,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:23:29.620967+00,2025-05-20 00:00:00+00,34655.94,98332.78,"{""KO"": {""value"": 14768.14, ""shares"": 206}, ""AXP"": {""value"": 9773.61, ""shares"": 33}, ""BAC"": {""value"": 14747.7, ""shares"": 330}, ""CVX"": {""value"": 19629.61, ""shares"": 143}, ""AAPL"": {""value"": 4757.78, ""shares"": 23}}"
ce065ead-b7b2-4313-809b-9cf25bc7c62e,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:21:50.544423+00,2025-05-19 00:00:00+00,5525.74,98998.55,"{""KO"": {""value"": 14817.58, ""shares"": 206}, ""AXP"": {""value"": 34419.5, ""shares"": 115}, ""BAC"": {""value"": 19788.34, ""shares"": 442}, ""CVX"": {""value"": 9832.79, ""shares"": 71}, ""AAPL"": {""value"": 14614.6, ""shares"": 70}}"
26a25d18-56de-4505-8c72-021c2157628d,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:20:09.145676+00,2025-05-16 00:00:00+00,105.90,99305.14,"{""KO"": {""value"": 9864.0, ""shares"": 137}, ""AXP"": {""value"": 34467.8, ""shares"": 115}, ""BAC"": {""value"": 34679.44, ""shares"": 776}, ""CVX"": {""value"": 5399.8, ""shares"": 38}, ""AAPL"": {""value"": 14788.2, ""shares"": 70}}"
0e85b3e3-3271-417a-a022-8af8356f493b,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:18:25.1943+00,2025-05-15 00:00:00+00,15702.95,99120.21,"{""KO"": {""value"": 9810.57, ""shares"": 137}, ""AXP"": {""value"": 29355.9, ""shares"": 98}, ""BAC"": {""value"": 19749.1, ""shares"": 445}, ""CVX"": {""value"": 4836.84, ""shares"": 34}, ""AAPL"": {""value"": 19664.85, ""shares"": 93}}"
ae049ab7-b233-476c-ae8a-3222b58f33c3,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:17:53.941131+00,2025-05-13 00:00:00+00,20353.54,95887.53,"{""KO"": {""value"": 8895.84, ""shares"": 129}, ""AXP"": {""value"": 14208.1, ""shares"": 47}, ""BAC"": {""value"": 9564.48, ""shares"": 216}, ""CVX"": {""value"": 23914.8, ""shares"": 168}, ""AAPL"": {""value"": 18950.77, ""shares"": 89}}"
c68d19e0-3ca6-4a8a-b391-be3dd86a1f8d,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:16:29.691066+00,2025-05-14 00:00:00+00,24822.15,98821.54,"{""KO"": {""value"": 14800.24, ""shares"": 214}, ""AXP"": {""value"": 15005.0, ""shares"": 50}, ""BAC"": {""value"": 24651.74, ""shares"": 551}, ""CVX"": {""value"": 9775.23, ""shares"": 69}, ""AAPL"": {""value"": 9767.18, ""shares"": 46}}"
7ac272e8-9461-49cd-ab50-4e24871d2444,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:15:45.118996+00,2025-05-12 00:00:00+00,47576.50,95539.96,"{""KO"": {""value"": 9942.79, ""shares"": 143}, ""AXP"": {""value"": 9266.52, ""shares"": 31}, ""BAC"": {""value"": 9322.4, ""shares"": 215}, ""CVX"": {""value"": 14162.0, ""shares"": 100}, ""AAPL"": {""value"": 5269.75, ""shares"": 25}}"
f4215449-0a7b-459a-be5d-d84f2619e146,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:14:34.880968+00,2025-05-13 00:00:00+00,30221.12,98770.54,"{""KO"": {""value"": 9861.28, ""shares"": 143}, ""AXP"": {""value"": 9673.6, ""shares"": 32}, ""BAC"": {""value"": 19660.32, ""shares"": 444}, ""CVX"": {""value"": 14662.05, ""shares"": 103}, ""AAPL"": {""value"": 14692.17, ""shares"": 69}}"
bcdadc28-873c-434c-b42e-b0b507826e57,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:12:48.893741+00,2025-05-12 00:00:00+00,25408.90,98058.82,"{""KO"": {""value"": 9803.73, ""shares"": 141}, ""AXP"": {""value"": 9565.44, ""shares"": 32}, ""BAC"": {""value"": 19512.0, ""shares"": 450}, ""CVX"": {""value"": 14586.86, ""shares"": 103}, ""AAPL"": {""value"": 19181.89, ""shares"": 91}}"
f7da4383-7bee-4e7e-b0d7-ed9e4baed51c,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:11:05.449402+00,2025-05-09 00:00:00+00,44034.95,96619.12,"{""KO"": {""value"": 14456.6, ""shares"": 205}, ""AXP"": {""value"": 9388.83, ""shares"": 33}, ""BAC"": {""value"": 9653.49, ""shares"": 231}, ""CVX"": {""value"": 9555.81, ""shares"": 69}, ""AAPL"": {""value"": 9529.44, ""shares"": 48}}"
298b3b72-8423-4abf-a0fa-234ba92c4c06,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:08:53.702076+00,2025-05-09 00:00:00+00,52710.17,94553.03,"{""KO"": {""value"": 9167.6, ""shares"": 130}, ""AXP"": {""value"": 4552.16, ""shares"": 16}, ""BAC"": {""value"": 4722.27, ""shares"": 113}, ""CVX"": {""value"": 18834.64, ""shares"": 136}, ""AAPL"": {""value"": 4566.19, ""shares"": 23}}"
f4b1bb04-db1d-4252-ab45-25ca47fc3a0c,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:07:15.36715+00,2025-05-08 00:00:00+00,15036.85,96484.48,"{""KO"": {""value"": 19287.07, ""shares"": 271}, ""AXP"": {""value"": 23827.44, ""shares"": 84}, ""BAC"": {""value"": 19260.8, ""shares"": 463}, ""CVX"": {""value"": 9592.8, ""shares"": 70}, ""AAPL"": {""value"": 9479.52, ""shares"": 48}}"
8c261449-7caa-479d-bd49-7d9c956edb97,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:07:01.398546+00,2025-05-08 00:00:00+00,47482.51,94418.72,"{""KO"": {""value"": 9394.44, ""shares"": 132}, ""AXP"": {""value"": 9360.78, ""shares"": 33}, ""BAC"": {""value"": 9443.2, ""shares"": 227}, ""CVX"": {""value"": 9455.76, ""shares"": 69}, ""AAPL"": {""value"": 9282.03, ""shares"": 47}}"
edae5560-da71-4a45-954b-1d57c9b7709c,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:05:31.455322+00,2025-05-07 00:00:00+00,34379.68,96016.04,"{""KO"": {""value"": 14335.2, ""shares"": 198}, ""AXP"": {""value"": 14088.24, ""shares"": 51}, ""BAC"": {""value"": 9577.62, ""shares"": 234}, ""CVX"": {""value"": 9505.3, ""shares"": 70}, ""AAPL"": {""value"": 14130.0, ""shares"": 72}}"
366f4ecc-dcb6-49a8-be75-23a4e27d50d4,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:03:52.78312+00,2025-05-06 00:00:00+00,6.29,95869.71,"{""KO"": {""value"": 14415.72, ""shares"": 201}, ""AXP"": {""value"": 33595.14, ""shares"": 122}, ""BAC"": {""value"": 23932.24, ""shares"": 586}, ""CVX"": {""value"": 9627.6, ""shares"": 71}, ""AAPL"": {""value"": 14292.72, ""shares"": 72}}"
9b301a21-4e71-4b15-9896-925e6f6d0c8f,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:03:04.02693+00,2025-05-07 00:00:00+00,42828.11,94314.42,"{""KO"": {""value"": 18824.0, ""shares"": 260}, ""AXP"": {""value"": 4696.08, ""shares"": 17}, ""BAC"": {""value"": 9372.97, ""shares"": 229}, ""CVX"": {""value"": 9369.51, ""shares"": 69}, ""AAPL"": {""value"": 9223.75, ""shares"": 47}}"
d85f518e-b678-49dd-9803-cfca6870f032,bc72086a-0e32-452a-8eae-a520fd94a5b1,2025-05-25 05:01:48.832227+00,2025-05-05 00:00:00+00,14499.38,96246.41,"{""KO"": {""value"": 14411.7, ""shares"": 201}, ""AXP"": {""value"": 23910.58, ""shares"": 86}, ""BAC"": {""value"": 19285.28, ""shares"": 469}, ""CVX"": {""value"": 9620.5, ""shares"": 71}, ""AAPL"": {""value"": 14518.97, ""shares"": 73}}"
